date,headline,news,pdf-pill-label (2),text-nowrap,endless_more href,endless_more,minorchange (6),minorchange (7),minorchange (8),loginModal href,cblack href,cblack,pp-restricted-content href,pp-restricted-content,hidden-premium-post,hidden-premium-post href,hidden-premium-post (2),hidden-premium-post (3),pp-readmore-btn src,hideForSubscriber,minorchange (9),minorchange (10),card-block (3),card-block href,card-block (4),card-block href (2),card-block href (3),card-block (5),card-block (6),card-block href (4),card-block (7),card-block (8),card-block (9),card-block (10),card-block (11),card-block (12),card-title,card-block (50),card-block (51),gr href
07 Sep 2024,Centre turned to Reliance's wildlife facility after cheetah deaths in Kuno,"After three cheetahs died in just over a month last year in Madhya Pradesh's Kuno National Park, the National Tiger Conservation Authority in May 2023 called in experts from Reliance's wildlife facility in Gujarat to review health monitoring protocols, official records show. The National Tiger Conservation Authority's (NTCA) Assistant Inspector General of Forests Abhishek Kumar wrote to the CEO of Reliance Industries' Jamnagar-based Greens Zoological Rescue and Rehabilitation Centre (GZRRC) on May 11, 2023, requesting that a team of experts be sent to Kuno to ""review health monitoring protocols"" and provide advice to ""ensure the welfare of the cheetahs"" following the deaths of three spotted felines between March 27 and May 9. Kumar's letter said Project Cheetah was the first intercontinental reintroduction of a wild, large carnivore species with ""no comparable historical precedent"" and it was not surprising that a project of such a ""magnitude and complexity would face many...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 Sep 2024,RIL bonus shares record date likely in October? Here's what data suggests,"The Ambani-led company has announced that the date for determining shareholder eligibility for the 1:1 bonus issue will be revealed later. However, historical data suggests the record date for the RIL bonus shares might be next month.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06 Sep 2024,RELIANCE INDUSTRIES LTD. - 500325 - Compliances-Reg. 39 (3) - Details of Loss of Certificate / …,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06 Sep 2024,"Ten Most-Valued Firms Lose Rs 1.4 Lakh Crore In Market Cap, Led By RIL, SBI","RIL lost Rs 38,091.5 crore in market capitalisation and SBI lost Rs 32,351.7 crore.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06 Sep 2024,RELIANCE INDUSTRIES LTD. - 500325 - Notice Of Forfeiture - To The Holders Of Partly Paid-Up …,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05 Sep 2024,RELIANCE INDUSTRIES LTD. - 500325 - Media Release,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05 Sep 2024,RIL approves 1-for-1 bonus share issue,"It has also approved the increase in the authorised share capital to 50,000 crore from 15,000 crore now",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05 Sep 2024,Jio marks 8th anniversary celebration with offers on select recharge plans,"India's largest telecom operator Reliance Jio marked its 8th anniversary milestone on Thursday doling out offers on select recharge plans for its users. According to information on Jio.com website, those recharging between September 5 and September 10 will get three benefits worth Rs 700 with quarterly plans of Rs 899 and Rs 999 as well as annual plan of Rs 3,599. Benefits on offer include subscription to 10 OTTs and 10 GB data pack with 28 day-validity worth Rs 175, subscription to three months of gold membership of Zomato at no cost among others benefits. The two offerings -- Rs 899 and Rs 999 plans -- currently have daily data limit of 2GB and have validity of 90 days and 98 days, respectively, while Rs 3,599 plan comes with daily data quota of 2.5 GB, valid for 365 days. It is pertinent to mention here that in September 2016, Jio's entry with free voice calls and cheap data rates dislodged well-entrenched rivals, and the Mukesh Ambani-led telco subsequently emerged as the natio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05 Sep 2024,RELIANCE INDUSTRIES LTD. - 500325 - Disclosure Under Regulation 30 Of The Securities And Exchange Board …,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05 Sep 2024,RELIANCE INDUSTRIES LTD. - 500325 - Board Meeting Outcome for Disclosure Under Regulation 30 Of The …,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04 Sep 2024,RELIANCE INDUSTRIES LTD. - 500325 - Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04 Sep 2024,Govt awards RIL full quota of Advanced Chemistry Cell under PLI-II,RIL is currently constructing an advanced chemistry-based battery manufacturing facility with a 30 GWh annual capacity in Jamnagar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03 Sep 2024,"Top 10 Most-Valued Firms Lose Rs 4,402 Crore In Market Cap As Infosys, RIL Weigh","The market capitalisation of RIL dropped by Rs 9,641.3 crore to Rs 20.4 lakh crore.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03 Sep 2024,RELIANCE INDUSTRIES LTD. - 500325 - Compliances-Reg. 39 (3) - Details of Loss of Certificate / …,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03 Sep 2024,RELIANCE INDUSTRIES LTD. - 500325 - Compliances-Reg. 39 (3) - Details of Loss of Certificate / …,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02 Sep 2024,A new technological gamechanger: Can RIL do a Jio in AI services?,"To ensure that AI is available to everyone, Reliance is building a delivery model where AI services and processing will be hosted on the Cloud over low latency broadband networks",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01 Sep 2024,RELIANCE INDUSTRIES LTD. - 500325 - Disclosure Under Regulation 30 Of The Securities And Exchange Board …,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01 Sep 2024,RELIANCE INDUSTRIES LTD. - 500325 - Announcement under Regulation 30 (LODR)-Change in Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31 Aug 2024,RELIANCE INDUSTRIES LTD. - 500325 - Disclosure Under Regulation 30 Of The Securities And Exchange Board …,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30 Aug 2024,"RELIANCE INDUSTRIES LTD. - 500325 - Update To Media Release Filed On February 28, 2024 And …",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30 Aug 2024,Ambani's long-term vision fails to deliver immediate catalysts for RIL stock,"Analysts have expressed concerns about the lack of immediate value-unlocking events, with some highlighting reduced expansion in the O2C sector and delayed new energy projects",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30 Aug 2024,RELIANCE INDUSTRIES LTD. - 500325 - Compliances-Reg. 39 (3) - Details of Loss of Certificate / …,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30 Aug 2024,Jio Brain to AI-Cloud welcome offer: Key tech announcements from RIL AGM,"Mukesh Ambani announced that Reliance is establishing a ""national AI infrastructure"" aligned with Jio's vision of ""AI Everywhere For Everyone",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30 Aug 2024,RELIANCE INDUSTRIES LTD. - 500325 - Shareholder Meeting / Postal Ballot-Scrutinizer''s Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30 Aug 2024,"RIL's 1:1 bonus shares explained: Meaning, tax rules, and implications",What are bonus shares and how Reliance's latest announcement will impact investors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30 Aug 2024,"Sterling & Wilson - Well Set To Capitalise On Growing Opportunities, Anand Rathi Initiates With A 'Buy' Rating","RIL's RE generation plans to offer multi-year opportunities for the company, says the brokerage.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29 Aug 2024,RELIANCE INDUSTRIES LTD. - 500325 - Shareholder Meeting / Postal Ballot-Outcome of AGM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
